location,forecast_date,quantile,value,target,target_end_date,type
05,2021-04-19,0.9,36.030590919372976,1 wk ahead inc death,2021-04-24,quantile
05,2021-04-19,0.95,42.568088832693256,1 wk ahead inc death,2021-04-24,quantile
05,2021-04-19,0.975,53.17338326021842,1 wk ahead inc death,2021-04-24,quantile
05,2021-04-19,0.99,59.198227204554776,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.01,22.2698116912186,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.025,27.85873259688998,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.05,32.857185321518145,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.1,41.9836759711504,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.15,46.67081654295146,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.2,50.11170137342604,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.25,53.735044259831,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.3,55.737461826743626,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.35,57.734436922936986,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.4,59.680421246008954,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.45,61.337367280225024,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.5,62.89415920151991,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.55,64.47510804558945,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.6,66.26415543629045,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.65,68.50076831135095,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.7,70.46573497444895,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.75,73.02991609345663,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.8,76.94397653542232,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.85,80.93670201093978,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.9,87.2774848466381,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.95,95.56703176961145,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.975,108.11706714134878,1 wk ahead inc death,2021-04-24,quantile
04,2021-04-19,0.99,119.98068293293389,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.01,294.69001525158546,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.025,345.5650190451872,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.05,391.6903468001409,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.1,464.3796223992007,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.15,491.582632427279,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.2,513.5557115272508,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.25,542.8337400474707,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.3,550.642057065149,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.35,555.0399296870331,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.4,563.1078645595595,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.45,571.6680192733045,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.5,579.2898807727081,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.55,584.3389400715365,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.6,598.7991295569296,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.65,616.0535341283658,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.7,625.5772828637221,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.75,647.3024682995369,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.8,683.4149291405691,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.85,698.9476802787175,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.9,732.5841683746273,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.95,774.4245961776637,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.975,816.5966106701958,1 wk ahead inc death,2021-04-24,quantile
06,2021-04-19,0.99,913.4999999999999,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.01,17.012115301040016,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.025,21.42382996209641,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.05,23.40731636087508,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.1,27.578842685952573,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.15,30.737805101928988,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.2,32.92306927302437,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.25,35.320416985168826,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.3,38.26421180650268,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.35,41.952383564153394,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.4,44.525570245892325,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.45,45.782741752374534,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.5,46.8294310594353,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.55,48.86192896104143,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.6,50.51300965914943,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.65,52.920184957147335,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.7,54.73355479348099,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.75,55.4205103965854,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.8,56.867250316253745,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.85,64.09409115389921,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.9,69.98457117399724,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.95,75.47837720358125,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.975,86.84381148611203,1 wk ahead inc death,2021-04-24,quantile
08,2021-04-19,0.99,100.50278108930821,1 wk ahead inc death,2021-04-24,quantile
09,2021-04-19,0.01,22.515432136733743,1 wk ahead inc death,2021-04-24,quantile
