location,forecast_date,quantile,value,target,target_end_date,type
02,2021-04-11,0.01,0,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.025,0,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.05,0,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.1,0,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.15,0,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.2,0,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.25,0,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.3,0,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.35,0.3105284261420294,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.4,1.0413619945851016,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.45,2.262729393775638,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.5,3.3689341813861446,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.55,4.082756735567486,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.6,4.653807347928442,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.65,5.1970359116543365,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.7,6.036211509738507,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.75,6.99441546630508,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.8,8.144308347130522,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.85,9.40634214119683,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.9,12.600107767334261,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.95,14.295755618934155,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.975,19.42812451634918,1 wk ahead inc death,2021-04-17,quantile
02,2021-04-11,0.99,27.010963438964485,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.01,20.943097828119637,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.025,26.957384376082985,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.05,30.241999100158246,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.1,34.17360780850833,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.15,38.58091020620567,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.2,43.22076234009876,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.25,45.28634442920238,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.3,48.5237255288513,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.35,50.41901881395595,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.4,51.25521559628468,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.45,52.35924092443419,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.5,53.77738773719155,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.55,55.94833880190235,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.6,57.378697067081426,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.65,59.61631386473155,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.7,63.27759465589042,1 wk ahead inc death,2021-04-17,quantile
01,2021-04-11,0.75,65.6142961096546,1 wk ahead inc death,2021-04-17,quantile
